"YEARS","GDP/Pop","Population","Ener/GDP","Emiss/Ener","Emissions/CO2","Backstop","Solowtfp"
2015,11.67526265,7224.805,0.006878455,0.018092002,10.49712368,550,4.17275647185666
2016,12.04763885,7290.5896,0.006768704,0.017905322,10.64516123,547.25,4.33954803477512
2017,12.41335508,7356.3742,0.006667325,0.017727421,10.79319878,544.5,4.49943114157986
2018,12.77258842,7422.1588,0.006573395,0.017557695,10.94123634,541.75,4.65219934813264
2019,13.12550974,7487.9434,0.006486122,0.017395593,11.08927389,539,4.79778490317363
2020,13.47228396,7553.728,0.006404824,0.017240612,11.23731144,536.25,4.93624180885716
2021,14.22801984,7603.9594,0.006229996,0.017236107,11.61745994,533.56875,5.21676334003446
2022,14.97383653,7654.1908,0.006074764,0.01723189,11.99760844,530.8875,5.48397749180518
2023,15.70992805,7704.4222,0.005936008,0.017227933,12.37775694,528.20625,5.73785009783268
2024,16.43648339,7754.6536,0.005811238,0.017224215,12.75790543,525.525,5.97865465666844
2025,17.15368666,7804.885,0.00569844,0.017220712,13.13805393,522.84375,6.20689635624563
2026,17.86171728,7855.1164,0.005595969,0.017217408,13.51820243,520.2295313,6.42324028561297
2027,18.5607501,7905.3478,0.005502471,0.017214286,13.89835092,517.6153125,6.62844891477947
2028,19.25095555,7955.5792,0.005416815,0.017211332,14.27849942,515.0010938,6.82333124302603
2029,19.9324998,8005.8106,0.005338055,0.017208531,14.65864792,512.386875,7.00870389916893
2030,20.60554486,8056.042,0.00526539,0.017205873,15.03879641,509.7726563,7.18536314736875
2031,21.65309417,8091.0791,0.005122561,0.017249005,15.48023765,507.223793,7.4822202520157
2032,22.69161011,8126.1162,0.004993982,0.017289944,15.92167888,504.6749297,7.7640614368524
2033,23.72120903,8161.1533,0.00487762,0.017328853,16.36312011,502.1260664,8.03208495928309
2034,24.74200529,8196.1904,0.004771813,0.017365881,16.80456135,499.5772031,8.28749086215687
2035,25.75411128,8231.2275,0.004675188,0.017401159,17.24600258,497.0283398,8.53143637042444
2036,26.75763753,8266.2646,0.004586599,0.017434809,17.68744382,494.5431981,8.76500801369427
2037,27.75269266,8301.3017,0.004505084,0.017466942,18.12888505,492.0580564,8.98920634717134
2038,28.73938348,8336.3388,0.004429828,0.017497657,18.57032628,489.5729147,9.20493978209015
2039,29.71781501,8371.3759,0.004360136,0.017527046,19.01176752,487.087773,9.41302451814096
2040,30.68809054,8406.413,0.004295414,0.017555194,19.45320875,484.6026313,9.61418837715027
2041,31.84145401,8424.1941,0.004202245,0.017546406,19.77838215,482.1796182,9.86225961958476
2042,32.98995889,8441.9752,0.004115941,0.017537911,20.10355555,479.756605,10.1024365669737
2043,34.13363581,8459.7563,0.004035772,0.017529693,20.42872895,477.3335919,10.3354821170842
2044,35.27251514,8477.5374,0.003961105,0.017521741,20.75390234,474.9105787,10.5620772463263
2045,36.40662702,8495.3185,0.003891393,0.017514041,21.07907574,472.4875656,10.7828266966359
2046,37.53600132,8513.0996,0.003826158,0.017506581,21.40424914,470.1251277,10.998265568647
