MODEL,SCENARIO,REGION,,,
GCAM4,SSP5-Baseline,World,,,
UNIT,billions/million,million,EJ/billion,GtC/EJ,
YEARS,GDP/Pop,Population,Ener/GDP,Emiss/Ener,Emissions|CO2
2005,8.790668136,6530.547852,0.007995573,0.019707419,9.04588086
2006,8.973896714,6603.614681,0.007916164,0.019602544,9.195811067
2007,9.157125292,6676.681511,0.007836755,0.01949767,9.341977503
2008,9.34035387,6749.748341,0.007757346,0.019392795,9.484283004
2009,9.523582448,6822.81517,0.007677937,0.019287921,9.622633079
2010,9.706811026,6895.882,0.007598528,0.019183046,9.756935912
2011,10.08335832,6961.6666,0.007479158,0.018988803,9.904973465
2012,10.45990561,7027.4512,0.007359787,0.018794559,10.05301102
2013,10.8364529,7093.2358,0.007240417,0.018600316,10.20104857
2014,11.2130002,7159.0204,0.007121046,0.018406072,10.34908612
2015,11.58954749,7224.805,0.007001676,0.018211829,10.49712368
2016,11.96609478,7290.5896,0.006882305,0.018017586,10.64516123
2017,12.34264208,7356.3742,0.006762935,0.017823342,10.79319878
2018,12.71918937,7422.1588,0.006643565,0.017629099,10.94123634
2019,13.09573666,7487.9434,0.006524194,0.017434855,11.08927389
2020,13.47228396,7553.728,0.006404824,0.017240612,11.23731144
2021,14.18561005,7603.9594,0.00629088,0.017237138,11.61745994
2022,14.89893614,7654.1908,0.006176937,0.017233664,11.99760844
2023,15.61226223,7704.4222,0.006062994,0.01723019,12.37775694
2024,16.32558832,7754.6536,0.00594905,0.017226716,12.75790543
2025,17.03891441,7804.885,0.005835107,0.017223242,13.13805393
2026,17.7522405,7855.1164,0.005721163,0.017219769,13.51820243
2027,18.46556659,7905.3478,0.00560722,0.017216295,13.89835092
2028,19.17889268,7955.5792,0.005493277,0.017212821,14.27849942
2029,19.89221877,8005.8106,0.005379333,0.017209347,14.65864792
2030,20.60554486,8056.042,0.00526539,0.017205873,15.03879641
2031,21.61379943,8091.0791,0.005168392,0.017240805,15.48023765
2032,22.622054,8126.1162,0.005071395,0.017275737,15.92167888
2033,23.63030856,8161.1533,0.004974397,0.017310669,16.36312011
2034,24.63856313,8196.1904,0.0048774,0.017345602,16.80456135
2035,25.6468177,8231.2275,0.004780402,0.017380534,17.24600258
2036,26.65507227,8266.2646,0.004683404,0.017415466,17.68744382
2037,27.66332683,8301.3017,0.004586407,0.017450398,18.12888505
2038,28.6715814,8336.3388,0.004489409,0.01748533,18.57032628
2039,29.67983597,8371.3759,0.004392411,0.017520262,19.01176752
2040,30.68809054,8406.413,0.004295414,0.017555194,19.45320875
2041,31.81995263,8424.1941,0.004226107,0.017547568,19.77838215
2042,32.95181473,8441.9752,0.004156801,0.017539942,20.10355555
2043,34.08367682,8459.7563,0.004087494,0.017532316,20.42872895
2044,35.21553892,8477.5374,0.004018188,0.01752469,20.75390234
2045,36.34740101,8495.3185,0.003948881,0.017517064,21.07907574
2046,37.47926311,8513.0996,0.003879575,0.017509438,21.40424914
2047,38.6111252,8530.8807,0.003810268,0.017501812,21.72942254
2048,39.7429873,8548.6618,0.003740962,0.017494186,22.05459594
2049,40.87484939,8566.4429,0.003671655,0.01748656,22.37976934
2050,42.00671149,8584.224,0.003602349,0.017478934,22.70494273
2051,43.30424703,8585.5051,0.003549974,0.017488193,22.99146015
2052,44.60178256,8586.7862,0.003497599,0.017497451,23.27797757
2053,45.8993181,8588.0673,0.003445225,0.01750671,23.56449498
2054,47.19685364,8589.3484,0.00339285,0.017515968,23.8510124
2055,48.49438917,8590.6295,0.003340476,0.017525227,24.13752982
2056,49.79192471,8591.9106,0.003288101,0.017534485,24.42404723
2057,51.08946024,8593.1917,0.003235726,0.017543744,24.71056465
2058,52.38699578,8594.4728,0.003183352,0.017553003,24.99708206
2059,53.68453132,8595.7539,0.003130977,0.017562261,25.28359948
2060,54.98206685,8597.035,0.003078603,0.01757152,25.5701169
2061,56.53640471,8584.0209,0.003033321,0.017573114,25.77071344
2062,58.09074257,8571.0068,0.002988039,0.017574708,25.97130998
2063,59.64508042,8557.9927,0.002942758,0.017576303,26.17190653
2064,61.19941828,8544.9786,0.002897476,0.017577897,26.37250307
2065,62.75375614,8531.9645,0.002852195,0.017579492,26.57309962
2066,64.30809399,8518.9504,0.002806913,0.017581086,26.77369616
2067,65.86243185,8505.9363,0.002761631,0.01758268,26.9742927
2068,67.4167697,8492.9222,0.00271635,0.017584275,27.17488925
2069,68.97110756,8479.9081,0.002671068,0.017585869,27.37548579
2070,70.52544542,8466.894,0.002625786,0.017587463,27.57608234
