MODEL,SCENARIO,REGION,,,,,,,,,,,,,
GCAM4,SSP5-Baseline,World,,,,,,,,,,,,,
UNIT,billions/million,million,EJ/billion,GtC/EJ,,MTCO2/$1000 2010 US$,,(1000$ per ton CO2),,,,,,,Billions 
YEARS,GDP/Pop,Population,Ener/GDP,Emiss/Ener,Emissions|CO2," Sigma (industrial, ) ", Exponent of control cost function , Backstop price  , Abatement cost function coefficient , Emissions control rate p1 , Abatement cost p1(fraction of output) , Emissions control rate p2 , Abatement cost p2(fraction of output) , Participation ,Capital 
2015,11.58954749,7224.805,0.007001676,0.018211829,10.49712368,0.467548862,2.6,550,0.098904567,0,0,0,0,1,939893.53
2016,11.96609478,7290.5896,0.006882305,0.018017586,10.64516123,0.454675915,,547.2240291,0.095695995,0,0,0.011764706,9.21E-07,1,1046608.26
2017,12.34264208,7356.3742,0.006762935,0.017823342,10.79319878,0.441973046,,544.4620692,0.092552907,0,0,0.023529412,5.40E-06,1,1160074.70
2018,12.71918937,7422.1588,0.006643565,0.017629099,10.94123634,0.429440239,,541.7140495,0.089474543,0,0,0.035294118,1.50E-05,1,1280348.54
2019,13.09573666,7487.9434,0.006524194,0.017434855,11.08927389,0.41707738,,538.9798996,0.086460125,0,0,0.047058824,3.06E-05,1,1407471.78
2020,13.47228396,7553.728,0.006404824,0.017240612,11.23731144,0.404884647,,536.2595496,0.083508946,0,0,0.058823529,5.28E-05,1,1541471.48
2021,14.18561005,7603.9594,0.00629088,0.017237138,11.61745994,0.397601478,,533.5529298,0.081592859,0,0,0.070588235,8.29E-05,1,1682356.93
2022,14.89893614,7654.1908,0.006176937,0.017233664,11.99760844,0.390321275,,530.8599709,0.079694593,0,0,0.082352941,0.000120836,1,1830113.96
2023,15.61226223,7704.4222,0.006062994,0.01723019,12.37775694,0.383043975,,528.180604,0.077813999,0,0,0.094117647,0.000166956,1,1984693.53
2024,16.32558832,7754.6536,0.00594905,0.017226716,12.75790543,0.375769514,,525.5147604,0.075950933,0,0,0.105882353,0.000221347,1,2146175.92
2025,17.03891441,7804.885,0.005835107,0.017223242,13.13805393,0.36849802,,522.8623719,0.074105288,0,0,0.117647059,0.000284027,1,2314617.69
