YEARS,K,GDP,pop,tfp
2015,223000.0,84351.49597003325,7224.805,4.172756471856662
2016,219257.32911340732,87834.39050436596,7290.5896,4.33954803477512
2017,216655.16211302712,91317.28504595094,7356.3742,4.499431141579862
2018,215079.44861183362,94800.1795402811,7422.1588,4.652199348132641
2019,214427.54324951212,98283.07402926871,7487.9434,4.797784903173634
2020,214607.06521100004,101765.96857260288,7553.728,4.936241808857159
2021,215534.87177587269,108189.2852057545,7603.9594,5.216763340034461
2022,217783.02734355142,114612.60180862993,7654.1908,5.483977491805177
2023,221219.49700709485,121035.91842882271,7704.4222,5.737850097832682
2024,225725.44936072634,127459.2350916037,7754.6536,5.978654656668442
2025,231193.93614480653,133882.55170733412,7804.885,6.206896356245631
2026,237528.7039059394,140305.8683382914,7855.1164,6.423240285612974
2027,244643.12454976953,146729.18496938478,7905.3478,6.628448914779474
2028,252459.23278805724,153152.50155370455,7955.5792,6.823331243026026
2029,260906.85985106655,159575.81818333786,8005.8106,7.008703899168934
2030,269922.8538662942,165999.1348250441,8056.042,7.185363147368749
2031,279450.3781411745,175196.89768921884,8091.0791,7.482220252015704
2032,290048.65781868517,184394.66051895477,8126.1162,7.764061436852395
2033,301610.6173509867,193592.4233551743,8161.1533,8.03208495928309
2034,314039.8887540264,202790.1862346472,8196.1904,8.287490862156874
2035,327249.74085024616,211987.94900599623,8231.2275,8.531436370424442
2036,341162.1155465407,221185.71189387044,8266.2646,8.765008013694267
2037,355706.76060853817,230383.47475803553,8301.3017,8.989206347171338
2038,370820.4489944522,239581.23759240302,8336.3388,9.20493978209015
2039,386446.2763653357,248779.0003753722,8371.3759,9.41302451814096
2040,402533.028811384,257976.76326063304,8406.413,9.614188377150272
2041,419034.6138475849,268238.58900646336,8424.1941,9.862259619584758
2042,436143.64204424835,278500.41479839955,8441.9752,10.102436566973727
2043,453799.3690954714,288762.2405855531,8459.7563,10.335482117084192
2044,471947.1251147459,299024.06629141624,8477.5374,10.562077246326306
2045,490537.70718738297,309285.89204560587,8495.3185,10.782826696635869
2046,509526.832718678,319547.7178228914,8513.0996,10.998265568646959
2047,528874.6473678463,329809.54358980816,8530.8807,11.208866221553816
