Year,US,EU,Japan,Russia,Eurasia,China,India,Mideast,Africa,Latam,OHI,Othasia
2005,0.13407,0.08795,0.095591421,0.253973604,0.317917935,0.300144622,0.165989167,0.169441796,0.147153133,0.090440835,0.141012818,0.138956043
2015,0.10166,0.06069,0.086339617,0.188381815,0.213561742,0.238142117,0.157148394,0.139989598,0.099316127,0.074879062,0.111824954,0.150921439
2025,0.08665,0.05315,0.073580888,0.16085732,0.171643541,0.189922172,0.128506514,0.119151803,0.081184737,0.065279613,0.094286729,0.126828844
2035,0.07485,0.04705,0.063559241,0.139192796,0.140648576,0.154545172,0.106953027,0.102806186,0.067545715,0.05755291,0.080665066,0.108181421
2045,0.06545,0.04206,0.055573183,0.121895973,0.117275336,0.128056464,0.090437487,0.08979668,0.057098295,0.051255716,0.069921572,0.093520782
2055,0.05786,0.03793,0.049124422,0.107904353,0.099331082,0.107851757,0.077571577,0.079303339,0.048962119,0.046064258,0.061327968,0.081828068
2065,0.05166,0.03447,0.043853139,0.096449032,0.085327704,0.092177439,0.067396229,0.07073491,0.04252926,0.041738606,0.054364511,0.072378789
2075,0.04653,0.03155,0.039495521,0.086965131,0.074235003,0.079828243,0.059236522,0.063658467,0.037372053,0.03809857,0.048654271,0.064649279
2085,0.04224,0.02906,0.035855399,0.079031818,0.065326561,0.069959964,0.052609281,0.057752471,0.033184435,0.035007138,0.043919782,0.058255253
2095,0.03863,0.02692,0.032784976,0.072331483,0.058081392,0.061970863,0.04716308,0.052774945,0.029743867,0.032358919,0.03995395,0.052910713
2105,0.03555,0.02507,0.030171535,0.066621513,0.052119925,0.055425035,0.042638532,0.04854154,0.026886135,0.030071973,0.03660021,0.048400022
2115,0.03,0.02345,0.027928137,0.061714493,0.047161557,0.050001938,0.038841553,0.044910201,0.024488406,0.028081954,0.033738775,0.044558603
2125,0.03062,0.02203,0.02598701,0.05746413,0.042996026,0.045462558,0.035625072,0.041770297,0.022457618,0.026337857,0.031276974,0.041259431
2135,0.02863,0.02077,0.02429481,0.053755116,0.039463785,0.041626362,0.032876325,0.039034816,0.020722436,0.024798905,0.02914237,0.038403429
2145,0.02688,0.01965,0.022809157,0.05049574,0.036442351,0.038355342,0.030507899,0.03663469,0.019227574,0.023432231,0.027277795,0.035912559
2155,0.02533,0.01865,0.021496099,0.047612441,0.033836663,0.035542812,0.028451337,0.034514622,0.017929743,0.022211143,0.025637725,0.033724796
2165,0.02396,0.01775,0.020328218,0.045045752,0.031572199,0.033105441,0.026652521,0.032629989,0.016794726,0.021113816,0.024185604,0.031790421
2175,0.02273,0.01693,0.019283206,0.042747248,0.029589979,0.030977508,0.025068284,0.030944511,0.015795238,0.020122282,0.022891852,0.030069264
2185,0.02162,0.01618,0.018342793,0.040677225,0.027842919,0.02910671,0.023663913,0.029428485,0.014909339,0.019221662,0.021732354,0.028528631
2195,0.02062,0.01550,0.017491913,0.038802921,0.02629312,0.027451076,0.022411276,0.028057439,0.014119249,0.018399564,0.020687323,0.027141729
2205,0.01970,0.01488,0.016718074,0.037097144,0.024909845,0.025976657,0.021287412,0.026811086,0.013410464,0.017645613,0.019740417,0.025886462
2215,0.01887,0.01430,0.016010856,0.035537199,0.023667985,0.024655796,0.020273455,0.025672514,0.012771062,0.016951077,0.018878063,0.024744497
2225,0.01811,0.01377,0.015361524,0.034104045,0.022546897,0.023465806,0.019353809,0.024627553,0.012191192,0.016308577,0.018088921,0.023700539
2235,0.01740,0.01327,0.014762718,0.032781634,0.021529503,0.022387962,0.018515504,0.02366427,0.011662662,0.015711846,0.017363476,0.022741763
2245,0.01675,0.01281,0.014208211,0.031556374,0.020601591,0.021406713,0.017747696,0.022772569,0.011178623,0.015155543,0.016693696,0.02185736
2255,0.01614,0.01237,0.013692711,0.030416707,0.019751274,0.020509078,0.017041273,0.021943875,0.010733321,0.014635098,0.016072782,0.021038182
2265,0.01557,0.01196,0.013211702,0.029352768,0.018968557,0.019684162,0.016388543,0.021170872,0.0103219,0.014146585,0.015494943,0.020276449
2275,0.01504,0.01158,0.012761314,0.0283561,0.018244998,0.018922779,0.015782983,0.020447297,0.00994024,0.013686622,0.014955237,0.019565524
2285,0.01454,0.01121,0.012338223,0.027419432,0.017573434,0.018217147,0.015219039,0.019767766,0.009584835,0.013252283,0.014449424,0.018899721
2295,0.01407,0.01087,0.011939562,0.02653649,0.016947766,0.017560647,0.014691963,0.01912764,0.009252687,0.012841033,0.013973858,0.018274149
2305,0.01363,0.01054,0.011562849,0.025701843,0.016362775,0.016947628,0.014197681,0.018522903,0.008941226,0.012450666,0.01352539,0.017684591
2315,0.01321,0.01023,0.011205931,0.024910775,0.015813983,0.016373245,0.013732687,0.017950074,0.008648237,0.012079256,0.013101294,0.017127397
2325,0.01281,0.00993,0.010866933,0.024159179,0.015297533,0.015833331,0.013293951,0.017406119,0.00837181,0.01172512,0.012699201,0.016599398
2335,0.01243,0.00965,0.010544218,0.02344347,0.014810093,0.015324288,0.012878848,0.016888394,0.008110286,0.01138678,0.012317048,0.016097835
2345,0.01207,0.00937,0.010236354,0.022760505,0.014348775,0.014843004,0.012485098,0.016394584,0.007862227,0.011062939,0.011953034,0.015620299
2355,0.01172,0.00911,0.009942083,0.022107527,0.013911065,0.014386773,0.012110711,0.015922655,0.007626378,0.010752449,0.011605577,0.015164682
2365,0.01139,0.00886,0.009660298,0.021482106,0.013494776,0.013953242,0.01175395,0.01547082,0.007401642,0.010454297,0.011273292,0.014729131
2375,0.01107,0.00862,0.009390023,0.020882099,0.013097991,0.013540351,0.011413291,0.015037501,0.007187057,0.010167584,0.010954956,0.014312017
2385,0.01076,0.00838,0.009130391,0.020305607,0.012719033,0.013146299,0.011087394,0.014621301,0.006981778,0.009891513,0.010649489,0.0139119
2395,0.01047,0.00816,0.008880637,0.019750946,0.012356424,0.012769503,0.010775079,0.014220983,0.006785062,0.00962537,0.010355936,0.013527506
2405,0.01019,0.00794,0.008640078,0.019216615,0.012008863,0.012408569,0.010475304,0.013835444,0.006596249,0.009368518,0.010073449,0.013157706
2415,0.00991,0.00773,0.008408104,0.018701276,0.0116752,0.012062266,0.010187144,0.013463703,0.006414757,0.009120388,0.00980127,0.012801494
2425,0.00965,0.00753,0.008184172,0.018203731,0.011354416,0.011729504,0.009909779,0.01310488,0.006240068,0.008880466,0.009538727,0.012457971
2435,0.00939,0.00733,0.007967792,0.017722906,0.011045605,0.011409315,0.009642476,0.012758187,0.006071721,0.008648289,0.009285213,0.012126336
2445,0.00915,0.00714,0.007758526,0.017257833,0.010747959,0.011100838,0.009384583,0.012422917,0.005909303,0.00842344,0.009040189,0.011805867
2455,0.00891,0.00696,0.007555976,0.01680764,0.010460756,0.010803304,0.009135514,0.01209843,0.005752447,0.008205538,0.008803164,0.011495918
2465,0.00868,0.00678,0.007359783,0.016371536,0.010183352,0.010516026,0.008894745,0.011784147,0.005600819,0.00799424,0.008573699,0.011195902
2475,0.00845,0.00661,0.007169623,0.015948803,0.009915164,0.010238384,0.008661801,0.011479544,0.005454122,0.007789231,0.008351395,0.01090529
2485,0.00823,0.00644,0.006985198,0.015538789,0.00965567,0.009969824,0.008436255,0.011184143,0.005312086,0.007590222,0.008135888,0.010623603
2495,0.00802,0.00627,0.006806239,0.015140897,0.009404396,0.009709843,0.00821772,0.01089751,0.005174466,0.007396949,0.007926849,0.010350402
2505,0.00782,0.00612,0.006632496,0.01475458,0.009160915,0.009457988,0.008005843,0.010619245,0.005041041,0.007209169,0.007723976,0.010085289
2515,0.00762,0.00596,0.006463744,0.014379336,0.008924836,0.009213844,0.007800303,0.010348982,0.004911609,0.007026659,0.007526992,0.009827898
2525,0.00743,0.00581,0.006299772,0.014014703,0.008695804,0.008977038,0.007600807,0.010086384,0.004785983,0.006849208,0.007335643,0.009577892
2535,0.00724,0.00566,0.006140387,0.013660252,0.008473495,0.008747225,0.007407086,0.009831139,0.004663995,0.006676625,0.007149696,0.009334963
2545,0.00706,0.00552,0.005985409,0.013315587,0.008257611,0.00852409,0.007218892,0.009582958,0.004545489,0.00650873,0.006968932,0.009098824
2555,0.00688,0.00538,0.00583467,0.012980338,0.008047876,0.008307346,0.007035997,0.009341573,0.00443032,0.006345353,0.006793152,0.008869209
2565,0.00671,0.00525,0.005688017,0.012654162,0.007844039,0.008096725,0.00685819,0.009106735,0.004318356,0.006186338,0.006622167,0.008645873
2575,0.00654,0.00512,0.005545302,0.012336737,0.007645866,0.007891981,0.006685275,0.008878209,0.004209472,0.006031537,0.006455804,0.008428585
2585,0.00637,0.00499,0.00540639,0.012027762,0.007453137,0.007692886,0.006517069,0.008655776,0.004103555,0.005880811,0.006293899,0.00821713
