Year,US,EU,Japan,Russia,Eurasia,China,India,Mideast,Africa,Latam,OHI,Othasia
2005,12.3979002,13.03105748,3.8703,1.6980,0.807335054,5.3332,2.4408,3.4801,1.3005,4.5585,3.8420,2.6192
2015,15.97331513,16.38071506,4.4256,2.2470,1.093215614,11.9405,4.6005,5.7670,2.4568,7.1173,5.0941,4.1793
2025,20.69950893,20.81775555,5.2201,2.7569,1.535946028,16.8902,7.4063,8.7639,4.3590,10.3554,6.5771,6.9275
2035,25.59478927,25.28142053,5.8566,3.2282,2.029614193,22.1776,10.9739,12.3976,7.1362,14.1127,8.0613,10.6423
2045,30.65253107,29.78647196,6.2402,3.7025,2.576928852,27.6885,15.3438,16.6423,10.9653,18.2299,9.4773,15.3799
2055,35.6596392,34.10006995,6.7871,4.1872,3.16303657,33.2651,20.1863,21.1117,15.4982,22.4679,10.7609,20.8310
2065,40.64545769,38.26237044,7.4448,4.6754,3.792681527,39.2170,25.4980,25.9192,20.6420,26.9555,11.9408,27.0061
2075,45.90838186,42.44780357,8.0799,5.1515,4.463001191,45.4332,31.5131,31.3619,26.8735,31.8100,13.1121,34.2255
2085,51.47012521,46.64668837,8.6926,5.6133,5.167863654,51.8494,38.2210,37.4838,34.2999,37.0141,14.2739,42.5294
2095,57.35152196,50.84405457,9.2826,6.0584,5.900914983,58.3758,45.6009,44.3286,43.0203,42.5488,15.4226,51.9434
2105,63.36479904,55.81422727,10.0726,6.6733,6.766489565,66.1276,53.5922,50.7813,51.6737,48.4419,16.8159,61.9492
2115,69.30036915,61.67203043,11.0897,7.4975,7.796108184,75.6463,62.1422,56.3201,59.5951,54.6110,18.4913,72.4246
2125,76.29834014,68.24324604,12.2747,8.4326,8.932320718,85.0560,71.2843,62.4732,67.7113,61.4440,20.3662,82.9996
2135,83.05630575,74.70474348,13.4272,9.3745,10.10425593,94.9067,80.7427,68.4708,76.0380,68.2642,22.2030,94.1758
2145,89.7483539,81.15650488,14.5719,10.3339,11.31358122,105.1099,90.4683,74.3771,84.4851,75.1123,24.0324,105.8190
2155,96.47297518,87.65296515,15.7226,11.3167,12.55921805,115.5900,100.4047,80.2213,92.9695,82.0011,25.8716,117.8104
2165,103.2866751,94.22279125,16.8869,12.3259,13.83869679,126.2837,110.4939,86.0137,101.4161,88.9283,27.7297,130.0438
2175,110.2227556,100.8807526,18.0692,13.3630,15.1489864,137.1364,120.6802,91.7554,109.7594,95.8848,29.6117,142.4242
2185,117.3018896,107.6344584,19.2721,14.4289,16.48699465,148.1013,130.9123,97.4435,117.9435,102.8592,31.5203,154.8661
2195,124.5380905,114.4881633,20.4972,15.5240,17.84986146,159.1381,141.1448,103.0739,125.9223,109.8402,33.4571,167.2937
2205,131.8282215,121.5248369,21.7544,16.6305,19.27111813,170.5215,152.1977,109.2179,134.4392,117.3636,35.4332,180.6026
2215,139.1380613,128.7784963,23.0481,17.7410,20.76475232,182.3503,164.4146,116.0929,143.7794,125.6455,37.4536,195.1573
2225,146.5656844,136.1897687,24.3728,18.8705,22.30233257,194.3584,177.1223,123.2463,154.3860,134.2617,39.5113,210.1757
